ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
Samsung Galaxy Z Fold6 12GB 256GB,43990000.0,Có 44 cửa hàng có sản phẩm,7.6 inches,Dynamic AMOLED 2X,"Camera bên ngoài:10 MP, f/2.2
Camera bên trong: 4 MP, F1.8","Camera góc rộng: 50.0 MP, f/1.8, Thu phóng quang học 2x
Camera chụp góc siêu rộng: 12.0 MP, f/2.2
Camera ống kính tele: 10.0 MP, f/2.4, Thu phóng Quang học 3x",Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,Có,12 GB,256 GB,4400 mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,2160 x 1856 (QXGA+),"Màn hình chính: 7.6"", Dynamic AMOLED 2X, 120Hz, độ sâu màu sắc 16M, 2600nits
Màn hình phụ: 6.3"", 968 x 2376 (HD+), Dynamic AMOLED 2X
Kính cường lực Corning® Gorilla® Glass Victus® 2","8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",Điện thoại
Samsung Galaxy S24 Ultra 12GB 256GB,33990000.0,Có 40 cửa hàng có sản phẩm,6.8 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính: 200MP, Laser AF, OIS
Camera: 50MP, PDAF, OIS, zoom quang học 5x
Camera tele: 10MP
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚",Snapdragon 8 Gen 3 For Galaxy,Có,12 GB,256 GB,"5,000mAh",SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,1440 x 3120 pixels,"Độ sáng cao nhất 2,600 nits, 120Hz, Corning® Gorilla® Armor®, 16 triệu màu","3.39GHz,3.1GHz,2.9GHz,2.2GHz",Điện thoại
"iPhone 16 Pro (VN/A) Giá rẻ từ 28.99 triệu, giảm thêm 7 triệu",28990000.0,,6.3 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Hỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H",Apple A18 Pro,Có,không có thông tin,128 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2622 x 1206 pixels,"Dynamic Island
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng tối đa 1000 nit
460 ppi
Lớp phủ kháng dầu chống in dấu vân tay
Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
"iPhone 16 Pro Max (VN/A) Giá tốt, sẵn Titan Sa Mạc, góp 0%",34990000.0,Có 27 cửa hàng có sản phẩm,6.9 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%
Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải",Apple A18 Pro,Có,không có thông tin,256 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2868 x 1320 pixels,"Dynamic Island
Màn hình Luôn Bật
Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Điện thoại
iPhone 15 Pro Max 256GB | Chính hãng VN/A,34990000.0,Có 47 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele: 12 MP",Apple A17 Pro 6 nhân,Có,8 GB,256 GB,4422 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"Tốc độ làm mới 120Hz
460 ppi
2000 nits
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Điện thoại
"iPhone 16 128GB (VN/A) Giá rẻ ưu đãi 4 triệu, trả góp 0%",22190000.0,Có 45 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu",Apple A18,Có,không có thông tin,128 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2556 x 1179 pixels,"Dynamic Island
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng tối đa 1000 nit
460 ppi
Lớp phủ kháng dầu chống in dấu vân tay
Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
Samsung Galaxy S24 FE 5G 8GB 128GB,16990000.0,Có 43 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED,10MP,50MP + 12vMP + 8MP,Exynos 2400e (4nm),không có thông tin,8 GB,128 GB,4700 mAh,không có thông tin,1080 x 2400 pixels (FullHD+),120Hz,không có thông tin,Điện thoại
Samsung Galaxy S23 Ultra 12GB 512GB,36990000.0,Có 47 cửa hàng có sản phẩm,6.8 inches,Dynamic AMOLED 2X,12MP F2.2 (Dual Pixel AF),"Siêu rộng: 12MP F2.2 (Dual Pixel AF)
Chính: 200MP F1.7 OIS ±3° (Super Quad Pixel AF)
Tele 1: 10MP F4.9 (10X, Dual Pixel AF) OIS,
Tele 2: 10MP F2.4 (3X, Dual Pixel AF) OIS Thu phóng chuẩn không gian 100X",Snapdragon 8 Gen 2 (4 nm),Có,12 GB,512 GB,5000 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1440 x 3088 pixels (QHD+),"120Hz, HDR10+, 1750 nits, Gorilla Glass Victus 2",1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Điện thoại
iPhone 13 128GB | Chính hãng VN/A,17290000.0,Có 47 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, f/2.2","Camera góc rộng: 12MP, f/1.6
Camera góc siêu rộng: 12MP, ƒ/2.4",Apple A15,Có,4 GB,128 GB,3240mAh,2 SIM (nano‑SIM và eSIM),2532 x 1170 pixels,"Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay",3.22 GHz,Điện thoại
iPhone 15 128GB | Chính hãng VN/A,22990000.0,Có 47 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,Apple A16 Bionic 6 nhân,Có,6 GB,128 GB,3349 mAh,2 SIM (nano‑SIM và eSIM),2556 x 1179 pixels,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mặt kính cảm ứng: Kính cường lực Ceramic Shield
Tần số quét 60 Hz",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
